,Shares,Cost(Euro/share),Profit(% post 2 years)
780,Share-dp7WiK,513.2,18
781,Share-MkxUGF,66.5,19
782,Share-hWBE4B,326.1,16
783,Share-5ExYwQ,613.3,3
784,Share-C2x3QY,763.8,13
785,Share-udgGj4,867.9,11
786,Share-hbH9Wx,602.7,1
787,Share-DQQkix,571.7,17
788,Share-EBSw8i,15.9,9
789,Share-W2UZsR,782.5,9
790,Share-3f3FHS,930.1,15
791,Share-Fbdotw,683.6,13
792,Share-9egOVq,304.9,19
793,Share-v7GdO8,999.8,16
794,Share-oiqWhE,581.4,19
795,Share-0YA7dA,10.3,6
796,Share-P68s9l,570.7,5
797,Share-IwoS4x,132.5,14
798,Share-3WkvM7,783.4,11
799,Share-ZOX1Ui,12.6,16
800,Share-eRSLSp,653.3,8
801,Share-ubLYl6,809.8,7
802,Share-OatG05,666.6,2
803,Share-6YqZcJ,651.9,15
804,Share-1ijo4U,39.7,7
805,Share-mPttjy,472.4,6
806,Share-qCvS2c,299.1,3
807,Share-j2m3Rm,450.6,15
808,Share-amyYfx,617.4,6
809,Share-LjYlyy,802.5,1
810,Share-4JeJvg,181.6,2
811,Share-A3Wyfz,328.2,7
812,Share-DntPJE,195.5,2
813,Share-zVVgQa,788.7,18
814,Share-Pdpw5C,809.8,5
815,Share-QER0Te,750.6,6
816,Share-AKy7xD,243.6,10
817,Share-MzWEGV,961.1,2
818,Share-aFQuU3,774.7,17
819,Share-EZD4UW,903.1,12
820,Share-iOkWOl,177.1,6
821,Share-r1n1ru,786.5,11
822,Share-CloqGT,675.7,1
823,Share-IGF65K,743.5,7
824,Share-qYUd2O,558.7,2
825,Share-IpzpEE,150.5,6
826,Share-08gXmx,583.9,10
827,Share-dnqCvH,771.2,7
828,Share-EGuOmG,676.5,7
829,Share-4f7ndd,619.3,10
830,Share-ePBI6p,555.3,12
831,Share-r1Y6rt,982.7,12
832,Share-aX8T6X,58.8,14
833,Share-hfBsVq,943.6,19
834,Share-9RqP2h,355.6,5
835,Share-BWCNg7,136.3,18
836,Share-pTJMlh,368.0,18
837,Share-vTWXX1,509.6,8
838,Share-i7xrND,487.7,18
839,Share-7a4Sy3,208.8,16
840,Share-7JkxYu,768.7,10
841,Share-vmus3B,243.8,15
842,Share-TsSSCO,193.2,14
843,Share-Fk8PIj,656.7,4
844,Share-oKBR8C,512.2,14
845,Share-eRm0Sw,297.5,15
846,Share-Wda9zv,500.0,10
847,Share-y4tS9M,720.1,3
848,Share-Yr1eRq,100.4,13
849,Share-yuR67J,408.9,15
850,Share-yIOZD7,719.6,3
851,Share-413zZz,947.4,3
852,Share-dtzG7c,852.8,14
853,Share-nnQANS,299.3,9
854,Share-q8kdh9,747.0,1
855,Share-53MRQB,294.3,13
856,Share-HnhHlI,768.5,9
857,Share-yo5Lv3,927.9,18
858,Share-ccASZt,829.3,12
859,Share-S5nAXe,180.7,16
860,Share-nJfjA1,31.1,13
861,Share-L2k0Nw,302.3,10
862,Share-cp1FoH,558.5,7
863,Share-QNMGO7,442.1,14
864,Share-A6cdg3,809.5,8
865,Share-KzFpCX,895.7,3
866,Share-qhSg3w,836.7,14
867,Share-WF2BBm,925.7,5
868,Share-wLPKOk,573.6,7
869,Share-iyrbpt,543.4,14
870,Share-q3ZSYC,564.1,19
871,Share-mvHlHC,673.4,1
872,Share-0QcH9b,581.4,6
873,Share-fpIhOw,850.0,7
874,Share-muVKni,103.3,16
875,Share-DXztYI,696.4,19
876,Share-3TZCoR,563.8,12
877,Share-Lsl4Sx,559.6,7
878,Share-iFPtfJ,467.6,13
879,Share-DOlUhN,461.8,10
880,Share-UxS9Wx,768.9,11
881,Share-qOeexa,782.6,4
882,Share-sXypqe,50.5,1
883,Share-B5kyxM,962.2,5
884,Share-CGdVMs,306.1,19
885,Share-yXs5LJ,778.1,9
886,Share-WWPXli,478.3,19
887,Share-3zaUou,496.6,19
888,Share-sD8ZJd,580.5,5
889,Share-yoLFxC,992.1,2
890,Share-wzmBvo,688.8,12
891,Share-v0b3FI,764.3,6
892,Share-mHtn6a,97.4,3
893,Share-CFARDu,125.7,19
894,Share-ZFnPJH,756.9,18
895,Share-HWcmcl,595.5,9
896,Share-nuEiia,111.7,3
897,Share-y8gidQ,230.1,5
898,Share-cXzjsy,965.1,10
899,Share-2cn3bt,219.4,9
900,Share-9NEq53,395.7,2
901,Share-RS8p6a,128.6,12
902,Share-dCDmnU,229.9,10
903,Share-btR5OV,468.1,19
904,Share-9v0po8,994.4,1
905,Share-aKz381,688.6,5
906,Share-z5naTs,304.9,13
907,Share-FV5Gn5,495.1,7
908,Share-yos7L2,504.4,16
909,Share-wNV8le,15.7,8
910,Share-N5kJsu,6.7,13
911,Share-MlHtKM,978.6,9
912,Share-mGS2EO,117.2,13
913,Share-3Cf4zX,403.4,6
914,Share-VpVSvK,762.0,14
915,Share-dYeS4M,288.7,15
916,Share-nNT26f,644.0,6
917,Share-oBE89u,972.0,1
918,Share-OEc10m,269.0,19
919,Share-1nBlyx,884.4,17
920,Share-ULxa6a,319.7,15
921,Share-PzQsfz,836.6,14
922,Share-KdL6KG,96.5,13
923,Share-ekISFU,705.1,5
924,Share-4zTMwP,338.4,15
925,Share-gWkPqm,664.0,10
926,Share-CFs9oM,604.0,19
927,Share-nKRMAt,557.0,10
928,Share-NqNqO0,297.6,14
929,Share-u1jgqP,805.7,4
930,Share-xlkzQj,443.8,10
931,Share-RJ7LnQ,490.1,16
932,Share-NyiACa,416.1,9
933,Share-glrznL,841.1,7
934,Share-AQvGaQ,378.7,10
935,Share-MN0qFA,240.3,19
936,Share-djgjYx,560.2,7
937,Share-ewsMZl,227.5,18
938,Share-4wH3sp,191.5,2
939,Share-x8mqtD,133.9,3
940,Share-AmX5Lz,786.2,13
941,Share-dhfn5t,813.1,4
942,Share-qehUBm,630.1,10
943,Share-9z4UvU,121.6,1
944,Share-G1o3WR,972.4,17
945,Share-KrPquY,792.7,1
946,Share-sxmIce,692.5,6
947,Share-2PGGiw,601.4,1
948,Share-P8lv3K,850.5,13
949,Share-1SY48S,801.1,8
950,Share-efQsBs,482.8,6
951,Share-NEIiVZ,249.8,3
952,Share-ewKQZ9,610.9,7
953,Share-JaLAyQ,132.5,13
954,Share-a8eBnS,900.9,1
955,Share-gUCIAY,188.8,13
956,Share-ss61cy,956.2,11
957,Share-tyjxeR,49.0,15
958,Share-WAYVdp,854.0,7
959,Share-PfxrGD,834.5,13
960,Share-FdAJlv,951.1,9
961,Share-44NEij,145.9,6
962,Share-ND7GQJ,380.3,10
963,Share-gW485T,826.9,7
964,Share-nPwlZ5,154.5,6
965,Share-fGMRhk,263.4,10
966,Share-K4IUnE,701.6,12
967,Share-iEW33J,424.4,6
968,Share-nJVfFS,584.0,6
969,Share-JRfwdM,733.2,6
970,Share-VHnJZH,925.9,8
971,Share-FozFwF,724.2,11
972,Share-Q3H7j6,776.8,10
973,Share-ZO9W07,214.7,17
974,Share-pEghZp,956.0,4
975,Share-o2GTsk,82.5,8
976,Share-TRzuI9,871.4,3
977,Share-9IHCFX,855.3,9
978,Share-TXePIc,838.3,5
979,Share-QJzChr,461.3,10
980,Share-cTpsk3,928.8,5
981,Share-PTHxXI,66.1,10
982,Share-VVa4so,904.4,1
983,Share-UYicEF,200.6,4
984,Share-WOlJKR,701.4,14
985,Share-VXSBUI,143.5,16
986,Share-ZeFDmx,427.7,3
987,Share-6ntCMx,318.1,9
988,Share-uCHGPC,114.5,13
989,Share-NPyu24,78.9,14
990,Share-1nYRoK,951.4,7
991,Share-taNAW0,383.2,15
992,Share-hgD8Xd,147.1,13
993,Share-IVtW1n,733.6,9
994,Share-bnxg1P,331.7,18
995,Share-oX1ugj,264.8,6
996,Share-wwZnrO,241.9,7
997,Share-jWGXvS,413.5,4
998,Share-gBzGxM,999.0,1
999,Share-1SJjDA,708.1,4
1000,Share-gNlVVn,219.4,4
1001,Share-VjemEH,221.6,19
1002,Share-sLpUZM,385.6,1
1003,Share-xhPKGq,673.9,12
1004,Share-Eh9hxa,209.0,14
1005,Share-HoVnlo,903.4,11
1006,Share-ms0e28,949.0,13
1007,Share-hgiodQ,210.7,19
1008,Share-dGPBsx,874.7,17
1009,Share-ZwR6u8,315.4,15
1010,Share-NphEyV,600.3,10
1011,Share-DuQIyV,174.2,17
1012,Share-IMuz6K,150.2,13
1013,Share-auSzAP,92.8,2
1014,Share-n9pXAK,711.1,5
1015,Share-88YuHz,743.4,1
1016,Share-sVwnb7,599.4,6
1017,Share-JLY0dF,365.6,19
1018,Share-rRMj2N,364.7,19
1019,Share-fhOQkn,882.0,2
1020,Share-sQZBaT,291.9,8
1021,Share-s40KrN,119.1,17
1022,Share-jNWSw6,759.7,9
1023,Share-ObVTsx,706.7,19
1024,Share-n2rQGj,294.9,5
1025,Share-kahzCy,914.7,5
1026,Share-I2ikvS,847.1,11
1027,Share-IiCgvQ,206.6,2
1028,Share-66ZnFC,944.5,12
1029,Share-7RlEFU,163.5,7
1030,Share-U0iXnt,896.2,6
1031,Share-FeErQD,307.3,6
1032,Share-W6dID1,331.9,17
1033,Share-R88ERi,676.6,3
1034,Share-PTnRPo,337.7,7
1035,Share-6HbNzO,398.3,9
1036,Share-AabIiV,949.1,11
1037,Share-Yy0gJQ,934.7,18
1038,Share-LwyGZl,799.5,3
1039,Share-DpbxKg,144.4,10
1040,Share-JCnLOV,446.2,17
1041,Share-GUOCdq,19.1,15
1042,Share-DEAUeO,394.3,18
1043,Share-Z62FQi,866.4,1
1044,Share-Lkh7zr,89.5,11
1045,Share-b16jVe,554.0,1
1046,Share-E6kAVo,856.4,16
1047,Share-TPxMcU,889.2,18
1048,Share-AsBKa0,409.9,14
1049,Share-sGdJLI,826.4,18
1050,Share-7YPLIv,568.8,8
1051,Share-nacwxL,429.0,5
1052,Share-Ew1qk3,153.1,17
1053,Share-Zlgohf,607.1,10
1054,Share-o0THVD,952.4,19
1055,Share-iLAu4o,758.3,19
1056,Share-CcWhYP,248.6,10
1057,Share-VTliYc,985.3,5
1058,Share-6CTYXO,884.0,2
1059,Share-cbIfDO,148.3,14
1060,Share-2WgSCT,510.1,10
1061,Share-FW8z3G,69.7,14
1062,Share-M76DvU,728.3,7
1063,Share-vU9gkj,735.7,12
1064,Share-Fv2e0n,743.9,8
1065,Share-Wvr0GU,517.5,9
1066,Share-vrN059,89.7,12
1067,Share-NONzQM,931.4,14
1068,Share-eQPGW5,821.0,2
1069,Share-p9NWz8,347.9,16
1070,Share-TMagN1,434.3,8
1071,Share-LRsPkN,86.6,19
1072,Share-eQDhIN,372.5,15
1073,Share-wl02S3,784.0,11
1074,Share-eeDicy,303.2,13
1075,Share-sGUqA7,698.7,11
1076,Share-P4gbc3,931.7,15
1077,Share-OjszWd,959.9,6
1078,Share-fZKzfV,169.7,7
1079,Share-7Hk766,305.0,4
1080,Share-SlWatc,393.4,14
1081,Share-yuyA2A,302.8,13
1082,Share-p6tjbO,754.8,14
1083,Share-AvJSis,472.8,4
1084,Share-9tjBEf,118.1,13
1085,Share-Hp4X3Q,387.5,8
1086,Share-llbvhJ,747.5,4
1087,Share-PDK44A,804.7,5
1088,Share-IDe16P,988.9,8
1089,Share-gNnGJZ,855.8,11
1090,Share-1fMVeI,525.8,5
1091,Share-l4SEzq,583.8,12
1092,Share-cPQ9W3,932.0,19
1093,Share-0aiJdK,474.8,15
1094,Share-0x38d1,669.5,4
1095,Share-mvB70Y,592.5,13
1096,Share-FN91IP,224.4,17
1097,Share-2Y8NIV,275.3,19
1098,Share-wTiPqJ,395.6,6
1099,Share-sjdRwl,774.7,7
1100,Share-VqO58Q,702.1,3
1101,Share-Ezhq7v,923.5,4
1102,Share-sgG7vl,588.7,13
1103,Share-C7sSwV,687.5,13
1104,Share-vNIuSD,432.0,14
1105,Share-0JTipl,402.2,7
1106,Share-sc5G0e,103.2,19
1107,Share-kbQrss,703.3,11
1108,Share-QHRCCd,970.3,12
1109,Share-8bNlPU,968.2,13
1110,Share-7wr3mH,105.4,16
1111,Share-Eh6IoF,849.1,11
1112,Share-Qgxxfx,440.7,5
1113,Share-tJ70YA,52.4,15
1114,Share-59x8Y6,479.3,5
1115,Share-In0CFJ,17.1,8
1116,Share-XiTQaR,266.0,3
1117,Share-l1tuOt,572.4,16
1118,Share-AvFXFW,776.1,12
1119,Share-hu7yYX,851.2,4
1120,Share-xqf680,169.5,12
1121,Share-tU6SKo,311.0,7
1122,Share-BmVMST,504.8,11
1123,Share-LfuZL1,815.0,4
1124,Share-IggEgu,475.2,16
1125,Share-39LGqX,286.7,14
1126,Share-AB7Jd3,923.6,17
1127,Share-qfzdjH,327.7,15
1128,Share-gXkWbs,620.8,8
1129,Share-JYl3VR,132.4,8
1130,Share-n8RvZF,798.3,7
1131,Share-U8j8Ke,281.6,13
1132,Share-hXNdaN,775.1,1
1133,Share-8cLoHJ,55.0,5
1134,Share-bjtUf0,636.9,1
1135,Share-ExjuW5,780.5,12
1136,Share-cVkA9H,703.5,2
1137,Share-4NNSqC,767.3,11
1138,Share-ai8zhT,578.1,3
1139,Share-W5T360,375.6,10
1140,Share-K9xvdj,546.0,6
1141,Share-4yisK8,217.3,5
1142,Share-irpzSV,924.5,2
1143,Share-QzhL6o,560.2,16
1144,Share-SjESm7,503.5,11
1145,Share-SpMpS4,343.5,3
1146,Share-keKI0M,13.5,4
1147,Share-ZCiSow,613.6,15
1148,Share-KhZ2V6,976.4,3
1149,Share-qiYzFv,790.1,13
1150,Share-N3UCVs,51.1,6
1151,Share-qUGDX2,712.2,13
1152,Share-Z6OrCz,596.7,4
1153,Share-DILTJg,361.4,14
1154,Share-nFvg1J,108.9,2
1155,Share-YuGSyO,33.3,12
1156,Share-MOioI0,91.6,16
1157,Share-l7XLG4,497.4,19
1158,Share-t5CB4p,369.1,13
1159,Share-mbROQ0,376.9,7
1160,Share-0fStFO,79.6,3
1161,Share-ugNFBg,474.6,7
1162,Share-WWhEvW,95.0,5
1163,Share-YQzI1c,267.2,7
1164,Share-Jpl8Po,951.2,8
1165,Share-PVxH6m,744.1,10
1166,Share-ix6mIA,522.4,9
1167,Share-CYMDiq,84.4,15
1168,Share-9JtULg,130.7,3
1169,Share-jKiCl9,373.1,3
1170,Share-oivTRA,782.3,15
1171,Share-EuP0E9,352.2,9
1172,Share-2Tax4d,427.7,13
1173,Share-uTrN8P,285.7,5
1174,Share-nbnndT,543.5,3
1175,Share-ofNLdq,833.0,11
1176,Share-YPzGYq,543.9,5
1177,Share-pCkYNa,139.2,7
1178,Share-xu4jnt,406.6,3
1179,Share-jskpcs,403.7,3
1180,Share-SovLsl,747.0,16
1181,Share-h3QcKm,742.0,13
1182,Share-A0w2Zx,750.5,16
1183,Share-gQQDWy,681.6,8
1184,Share-j2lK75,494.2,5
1185,Share-oEeMJH,119.5,16
1186,Share-OS9VKJ,454.9,4
1187,Share-EfnOF7,630.8,14
1188,Share-gbijAA,696.5,11
1189,Share-MYCOfj,805.1,9
1190,Share-9sfTak,844.3,19
1191,Share-TyW7JR,205.8,11
1192,Share-2zbh7J,687.0,9
1193,Share-CtgoPi,961.2,13
1194,Share-fPHmmM,310.5,8
1195,Share-jZjELE,212.6,16
1196,Share-Pj2I1l,549.1,13
1197,Share-UzKguj,295.3,3
1198,Share-grTYnA,159.1,19
1199,Share-N6GSMb,701.4,13
1200,Share-AKGFBp,131.5,9
1201,Share-uND7kQ,846.9,8
1202,Share-9A4aZy,6.2,11
1203,Share-2FqMwS,685.8,8
1204,Share-cmcCvE,347.4,10
1205,Share-L1kRtN,615.7,19
1206,Share-rXWKGH,685.1,7
1207,Share-q1ctSq,431.0,8
1208,Share-IPkBeG,126.2,18
1209,Share-s6dtC7,135.3,15
1210,Share-XMnPZT,506.4,18
1211,Share-cRcAqV,171.0,6
1212,Share-n4bGON,382.0,15
1213,Share-mep1lW,600.5,1
1214,Share-5KxI2l,840.3,2
1215,Share-aMNYKs,667.8,15
1216,Share-l6Ndz2,516.5,6
1217,Share-AvoqnH,610.7,3
1218,Share-IG5gqW,105.6,12
1219,Share-pcmxc1,999.5,9
1220,Share-liyAK5,374.7,3
1221,Share-GkKGFd,299.0,9
1222,Share-SyOzXT,178.8,17
1223,Share-Dzc52K,695.8,2
1224,Share-0DRBG7,778.9,2
1225,Share-Ww854I,470.0,19
1226,Share-jxUAbp,736.3,7
1227,Share-mzzDfD,710.7,8
1228,Share-AftCkU,407.4,3
1229,Share-QYq2UY,190.0,10
1230,Share-3jlQ13,974.5,13
1231,Share-4DgCgQ,329.9,14
1232,Share-J1CtpZ,297.8,16
1233,Share-AoDLVo,496.8,12
1234,Share-tvknLX,899.4,3
1235,Share-IUiYzx,345.0,6
1236,Share-y7wY62,101.0,17
1237,Share-Gk2msP,168.5,18
1238,Share-jZXWmk,664.6,14
1239,Share-bMChcn,706.9,16
1240,Share-7fY2QF,675.2,14
1241,Share-MNeBDC,62.9,10
1242,Share-uO7iTD,318.8,3
1243,Share-D1Oc8K,655.8,11
1244,Share-Ojiyl1,717.6,5
1245,Share-MjB5Tk,526.6,15
1246,Share-IU0Cru,726.3,5
1247,Share-KVmYkf,98.7,4
1248,Share-VZsZUb,904.2,6
1249,Share-Vxfv9C,163.8,16
1250,Share-iPlC0Z,520.9,2
1251,Share-nPnRuS,130.3,3
1252,Share-Xueyky,695.1,2
1253,Share-w7OPFC,557.7,10
1254,Share-8c0q2B,329.6,15
1255,Share-QTsB7s,959.7,5
1256,Share-FLOoZ5,615.9,6
1257,Share-2eHcX6,741.6,8
1258,Share-ZJW5RS,40.4,6
1259,Share-uzkAss,47.1,13
1260,Share-L4QIBF,998.8,2
1261,Share-ELThOH,349.3,3
1262,Share-LLgOc4,396.0,15
1263,Share-gdX7Kj,592.6,7
1264,Share-V1Jae2,879.5,14
1265,Share-PZBT4C,4.2,12
1266,Share-PuklFg,977.7,8
1267,Share-D9eqPu,824.8,4
1268,Share-Uhd8GB,521.5,9
1269,Share-ACwdlQ,36.8,2
1270,Share-6uMIA8,806.2,3
1271,Share-e5VmsO,973.2,10
1272,Share-oNsAop,45.1,16
1273,Share-uj5jTn,700.2,3
1274,Share-gSZp4A,59.9,5
1275,Share-qZifFe,307.7,4
1276,Share-SzI5je,428.4,14
1277,Share-wnLt56,709.5,10
1278,Share-5gajn2,434.3,6
1279,Share-Y1xxkn,280.5,5
1280,Share-pu5gPn,694.9,7
1281,Share-nlb31k,526.0,13
1282,Share-tiOfHp,297.5,1
1283,Share-Qq6bnT,749.0,14
1284,Share-vRTNhQ,246.4,9
1285,Share-8e2MUg,14.9,6
1286,Share-WwUhzo,126.1,18
1287,Share-EvPbtG,446.7,16
1288,Share-RYFLao,671.1,18
1289,Share-yDVttc,964.5,16
1290,Share-tWxTxe,244.4,6
1291,Share-GCtie2,951.2,1
1292,Share-7dIjX8,508.9,18
1293,Share-sZNgPm,347.8,14
1294,Share-FUUbqk,330.6,1
1295,Share-Ugfw6s,355.2,2
1296,Share-ab94xS,349.5,4
1297,Share-cGsuBA,431.7,9
1298,Share-sFagYu,987.6,18
1299,Share-yZhsI7,593.5,16
1300,Share-ymb2Q6,432.3,10
1301,Share-p5sVMa,110.1,8
1302,Share-2cF5rS,152.8,17
1303,Share-AhJWYq,368.2,6
1304,Share-ertZwy,631.6,8
1305,Share-GpZPQy,329.4,9
1306,Share-9uexZR,120.3,11
1307,Share-PLd1pg,380.9,10
1308,Share-HUoKD9,459.0,6
1309,Share-gbGbr3,533.8,4
1310,Share-gfhN6g,246.8,7
1311,Share-5KbTia,755.6,7
1312,Share-FSLq3L,171.0,8
1313,Share-CxxTnw,314.2,14
1314,Share-Ii4Mhf,954.6,3
1315,Share-ropBu9,371.2,19
1316,Share-lrpCOx,175.9,10
1317,Share-hqXvZQ,139.8,18
1318,Share-OUMkoG,400.7,15
1319,Share-f9ilo0,867.6,3
1320,Share-54DRh0,30.0,12
1321,Share-DsvPYz,452.6,6
1322,Share-8FrAKG,702.5,17
1323,Share-seW2xC,704.9,1
1324,Share-SLd9FR,505.2,5
1325,Share-7LPlKV,40.5,7
1326,Share-ypcSro,853.5,11
1327,Share-3OxP2D,968.2,1
1328,Share-nQIAys,706.5,1
1329,Share-a0zBKw,35.5,10
1330,Share-2HTejE,434.0,17
1331,Share-jlCHqu,130.0,13
1332,Share-wfGDEI,632.1,5
1333,Share-5y0zTL,995.2,14
1334,Share-vfnuzY,266.0,6
1335,Share-WMW3Uh,774.1,6
1336,Share-N3MGhu,955.8,16
1337,Share-tvUGOw,227.5,13
1338,Share-4r2j4C,667.3,14
1339,Share-VqSruf,974.7,3
1340,Share-r6Y459,677.9,6
1341,Share-VqVdxe,227.9,6
1342,Share-e36jhL,579.9,10
1343,Share-LNOkbR,638.7,18
1344,Share-wfYesy,741.5,8
1345,Share-V7Hwv7,532.1,13
1346,Share-aN50Lv,167.7,6
1347,Share-MfEU2s,571.6,9
1348,Share-LWOOw0,833.0,9
1349,Share-yw7ChO,795.4,6
1350,Share-YQh21c,1.2,6
1351,Share-VX4Xcy,390.7,7
1352,Share-iOW9Xl,219.6,3
1353,Share-ikFAiu,946.3,19
1354,Share-m7ve89,221.0,12
1355,Share-6hX5JN,598.9,4
1356,Share-4VAqtn,906.9,6
1357,Share-crP1Iq,103.5,8
1358,Share-j9tmvl,598.0,18
1359,Share-AyelGR,479.6,16
1360,Share-9VqzyU,974.8,8
1361,Share-RtNSr2,463.9,15
1362,Share-0YkbO6,95.4,19
1363,Share-0SDzu4,650.4,8
1364,Share-JHDlif,268.4,3
1365,Share-7DCuSk,584.6,3
1366,Share-Uk6PWU,459.8,14
1367,Share-FFDBYY,206.6,8
1368,Share-LXWOga,432.2,2
1369,Share-vKwuvF,457.9,12
1370,Share-DTqIcl,749.4,10
1371,Share-2bAO6J,161.7,19
1372,Share-b662UI,427.0,8
1373,Share-Q1orkk,319.8,2
1374,Share-XUuSag,334.8,10
1375,Share-AI7v5y,245.4,14
1376,Share-tWTt5U,411.0,15
1377,Share-srCYXe,794.8,2
1378,Share-32O8Pc,926.4,10
1379,Share-hwy6FA,947.7,18
1380,Share-UK9k9I,629.8,10
1381,Share-EU4sAQ,684.2,8
1382,Share-qAinQt,22.1,12
1383,Share-OPLF9L,524.2,4
1384,Share-L8Ntpt,326.3,14
1385,Share-EKcBR6,428.2,5
1386,Share-xr1s5v,682.1,2
1387,Share-yUHNvc,329.3,5
1388,Share-KvvwF4,702.8,13
1389,Share-WawwPJ,19.5,14
1390,Share-b7nN9W,33.6,10
1391,Share-0EbcIY,860.0,11
1392,Share-PvlvUB,59.2,16
1393,Share-aCJNRE,154.5,12
1394,Share-LHXcRc,40.6,16
1395,Share-ionp78,973.2,6
1396,Share-Md3n3Z,744.0,15
1397,Share-qoQotN,983.3,5
1398,Share-8FVO6D,834.2,19
1399,Share-Yr4pvK,499.7,9
1400,Share-htDLMd,209.9,19
1401,Share-hqc5XE,609.0,7
1402,Share-NPey5E,247.5,17
1403,Share-1jdO9V,457.6,2
1404,Share-2lTrDC,166.1,2
1405,Share-ZU7mCz,92.1,11
1406,Share-w6EV2N,527.9,19
1407,Share-3ga1bn,648.5,13
1408,Share-ICnVVS,50.9,1
1409,Share-Uj2XHN,999.2,17
1410,Share-DCVti7,365.1,7
1411,Share-sFR5JC,863.4,2
1412,Share-Z77n61,105.6,16
1413,Share-UwQxbw,1.8,11
1414,Share-fVgGCH,568.3,14
1415,Share-31Nz8o,934.6,9
1416,Share-2UDlq6,434.9,1
1417,Share-LoQrWY,343.8,2
1418,Share-Z6rgN9,645.2,18
1419,Share-ft3r3D,421.6,14
1420,Share-nyDUlX,456.5,1
1421,Share-2VFFXI,548.2,15
1422,Share-qg6LhN,425.3,7
1423,Share-DOpy8s,198.5,4
1424,Share-rIS2oH,183.9,19
1425,Share-cbNQqQ,519.4,7
1426,Share-VJWGjU,497.5,14
1427,Share-ImVEVM,899.7,16
1428,Share-drGp05,701.4,3
1429,Share-hbfQO5,854.6,13
1430,Share-A41OFA,890.0,15
1431,Share-pweJmG,980.3,9
1432,Share-pzmlHw,364.0,6
1433,Share-5kTUr8,450.0,11
1434,Share-ljAkrd,721.5,2
1435,Share-Md1WIH,10.6,12
1436,Share-R1kHWD,219.2,15
1437,Share-QA6VDA,871.6,14
1438,Share-HlBD3G,7.7,4
1439,Share-1peixC,225.2,8
1440,Share-kPD0Af,407.2,13
1441,Share-5BHBg6,620.2,3
1442,Share-nhPAXs,393.9,13
1443,Share-e0Dr9b,732.8,16
1444,Share-1kdDUA,977.6,8
1445,Share-HCvs9S,985.1,3
1446,Share-yV1W3K,563.6,5
1447,Share-RPdiIT,762.8,13
1448,Share-Y7iV2b,968.5,10
1449,Share-kiRdfI,148.7,10
1450,Share-mvJWMQ,390.7,17
1451,Share-fITVJq,992.5,16
1452,Share-YxaXCg,563.0,10
1453,Share-hAJGBS,309.1,16
1454,Share-VcAEMJ,124.5,4
1455,Share-fqTeMm,265.9,1
1456,Share-MFuzV3,195.4,3
1457,Share-Y0Bi4S,373.3,18
1458,Share-FRSwkD,930.4,18
1459,Share-YL1E1z,766.4,7
1460,Share-fVIRcX,973.5,11
1461,Share-J0kh6N,706.3,15
1462,Share-UNyLJR,489.2,9
1463,Share-Rc4ONa,812.7,8
1464,Share-NDeN1O,740.8,3
1465,Share-IWefZk,860.0,14
1466,Share-M6JHPX,795.9,6
1467,Share-87aZea,860.9,2
1468,Share-lFOhW6,23.8,9
1469,Share-k2UWzB,543.0,9
1470,Share-lPzEZF,24.6,4
1471,Share-WNJm2B,685.9,5
1472,Share-xlRKOG,807.4,3
1473,Share-eQ6yKp,214.3,5
1474,Share-ZSHi3f,462.8,13
1475,Share-GEfKPF,329.7,11
1476,Share-vFZopV,587.5,6
1477,Share-tVnkrM,988.3,15
1478,Share-utP3VG,730.2,18
1479,Share-9MhkDg,548.0,13
1480,Share-8Ubczf,249.3,1
1481,Share-271MpM,856.4,3
1482,Share-RRWM8I,535.3,3
1483,Share-OwL9x9,358.6,9
1484,Share-CMU3Ed,829.8,14
1485,Share-my1A48,978.4,9
1486,Share-aYwlfa,3.1,1
1487,Share-XPXDws,793.5,12
1488,Share-Q2Fat5,89.6,17
1489,Share-iaMze7,623.4,9
1490,Share-3otbdz,710.4,5
1491,Share-dZ4ONT,39.5,4
1492,Share-MVSkEk,817.9,4
1493,Share-htx9rx,455.5,1
1494,Share-ZNixho,559.5,2
1495,Share-UKnylj,64.2,4
1496,Share-SWQpC5,913.7,18
1497,Share-d0cQ0q,726.6,6
1498,Share-lj2rnG,354.8,15
1499,Share-yelrYS,638.7,14
1500,Share-jwbTAY,437.0,6
1501,Share-RC9qG6,149.0,9
1502,Share-FmQ43D,854.4,14
1503,Share-Azeoxi,498.8,8
1504,Share-yS38OF,890.2,10
1505,Share-nioO4B,599.5,9
1506,Share-VJLFUp,304.5,13
1507,Share-2zQzKD,12.0,10
1508,Share-JycWEJ,471.3,2
1509,Share-WJ0tzY,427.2,11
1510,Share-LKv9iB,494.0,19
1511,Share-SgJjAz,694.5,8
1512,Share-0b2J7y,469.4,11
1513,Share-h2JB2G,954.5,12
1514,Share-1wcrCZ,895.0,10
1515,Share-EBuQZV,587.5,16
1516,Share-go9pWF,574.4,8
1517,Share-gau1Oe,898.0,5
1518,Share-RWRYFb,522.8,5
1519,Share-LOcM1j,500.4,10
1520,Share-QX8EyO,376.1,14
1521,Share-re9MSv,121.0,7
1522,Share-39wpP2,680.1,16
1523,Share-byr2oR,979.5,2
1524,Share-RM3WU6,150.9,11
1525,Share-vXJyRo,421.6,11
1526,Share-RhkJJ9,346.5,17
1527,Share-ANBONb,27.3,4
1528,Share-ofYK5w,216.8,14
1529,Share-GDFOhb,929.3,17
1530,Share-PvNlSB,409.5,19
